iter	Passed	Remaining
153	562	3090
154	566	3085
155	568	3073
156	570	3061
157	574	3061
158	576	3050
159	578	3039
160	580	3025
161	582	3013
162	584	3002
163	590	3008
164	594	3006
165	597	3001
166	600	2994
167	604	2992
168	613	3016
169	615	3003
170	616	2990
171	619	2980
172	622	2977
173	624	2965
174	626	2953
175	628	2941
176	630	2931
177	633	2925
178	637	2924
179	639	2913
180	641	2902
181	643	2890
182	644	2878
183	647	2869
184	650	2865
185	652	2853
186	653	2841
187	654	2828
188	656	2818
189	658	2806
190	659	2794
191	666	2804
192	668	2795
193	670	2787
194	672	2777
195	677	2780
196	680	2773
197	681	2761
198	683	2750
199	685	2743
200	687	2732
201	688	2720
202	693	2722
203	696	2717
204	698	2707
205	700	2698
206	701	2686
207	702	2675
208	704	2665
209	705	2655
210	707	2645
211	708	2635
212	710	2624
213	711	2613
214	712	2602
215	714	2591
216	715	2580
217	716	2569
218	717	2559
219	722	2562
220	724	2553
221	725	2543
222	727	2533
223	728	2523
224	729	2512
225	730	2502
226	731	2492
227	733	2484
228	735	2476
229	736	2466
230	738	2457
231	739	2448
232	740	2439
233	742	2429
234	743	2420
235	745	2413
236	747	2405
237	749	2399
238	751	2391
239	752	2382
240	753	2373
241	754	2364
242	756	2355
243	757	2346
244	758	2337
245	761	2335
246	763	2327
247	765	2320
248	766	2312
249	768	2305
250	770	2298
251	771	2290
252	772	2281
253	774	2274
254	775	2266
255	777	2259
256	779	2254
257	781	2247
258	783	2240
259	784	2233
260	786	2227
261	788	2220
262	789	2212
263	791	2206
264	794	2202
265	795	2195
266	796	2187
267	798	2179
268	799	2172
269	800	2164
270	801	2156
271	803	2149
272	804	2141
273	806	2136
274	807	2129
275	809	2122
276	810	2114
277	811	2107
278	812	2100
279	813	2093
280	815	2085
281	816	2078
282	817	2071
283	818	2063
284	820	2057
285	821	2051
286	822	2043
287	823	2036
288	825	2029
289	826	2022
290	827	2015
291	828	2009
292	829	2002
293	831	1995
294	832	1988
295	835	1986
296	836	1980
297	838	1974
298	839	1967
299	840	1961
300	841	1954
301	842	1948
302	844	1941
303	845	1935
304	846	1929
305	848	1923
306	850	1918
307	851	1912
308	852	1906
309	853	1900
310	855	1894
311	856	1887
312	857	1881
313	858	1875
314	859	1870
315	861	1863
316	862	1859
317	864	1854
318	865	1848
319	867	1842
320	868	1836
321	869	1831
322	870	1825
323	872	1819
324	873	1814
325	874	1808
326	875	1802
327	877	1798
328	879	1793
329	880	1788
330	881	1782
331	883	1776
332	884	1771
333	885	1765
334	886	1759
335	887	1753
336	888	1748
337	889	1742
338	891	1738
339	893	1733
340	894	1728
341	895	1722
342	896	1717
343	897	1711
344	898	1706
345	899	1700
346	900	1695
347	901	1689
348	902	1684
349	903	1678
350	905	1673
351	906	1669
352	908	1664
353	909	1659
354	910	1654
355	911	1649
356	912	1644
357	914	1639
358	915	1634
359	916	1629
360	917	1624
361	918	1619
362	921	1616
363	922	1611
364	924	1607
365	925	1603
366	926	1598
367	927	1593
368	929	1589
369	930	1584
370	931	1579
371	932	1574
372	934	1570
373	936	1567
374	937	1562
375	938	1557
376	940	1554
377	941	1549
378	943	1545
379	944	1540
380	945	1535
381	946	1531
382	947	1527
383	950	1524
384	951	1520
385	952	1515
386	954	1511
387	955	1506
388	956	1502
389	957	1498
390	959	1494
391	961	1491
392	965	1490
393	966	1486
394	967	1482
395	968	1477
396	970	1473
397	971	1469
398	972	1464
399	973	1460
400	974	1456
401	976	1452
402	978	1448
403	980	1446
404	982	1442
405	983	1438
406	984	1434
407	985	1430
408	986	1425
409	988	1421
410	989	1417
411	990	1413
412	992	1410
413	993	1406
414	995	1403
415	996	1398
416	997	1394
417	998	1390
418	1000	1386
419	1001	1382
420	1002	1378
421	1003	1374
422	1004	1370
423	1005	1366
424	1007	1363
425	1009	1359
426	1010	1355
427	1011	1351
428	1012	1347
429	1013	1344
430	1015	1340
431	1016	1336
432	1017	1332
433	1019	1329
434	1020	1325
435	1022	1322
436	1024	1319
437	1025	1315
438	1026	1311
439	1027	1307
440	1028	1304
441	1030	1300
442	1031	1296
443	1032	1292
444	1033	1288
445	1034	1285
446	1036	1282
447	1037	1278
448	1038	1274
449	1039	1270
450	1040	1267
451	1042	1263
452	1043	1259
453	1044	1256
454	1045	1252
455	1046	1248
456	1047	1244
457	1048	1240
458	1050	1238
459	1052	1235
460	1053	1231
461	1054	1228
462	1055	1224
463	1057	1221
464	1058	1217
465	1059	1213
466	1060	1210
467	1061	1206
468	1062	1203
469	1063	1199
470	1065	1196
471	1066	1193
472	1067	1189
473	1069	1186
474	1070	1182
475	1071	1179
476	1072	1175
477	1073	1171
478	1074	1168
479	1075	1165
480	1076	1161
481	1077	1158
482	1079	1155
483	1080	1152
484	1082	1149
485	1083	1145
486	1084	1142
487	1085	1138
488	1086	1135
489	1087	1132
490	1089	1128
491	1090	1125
492	1091	1122
493	1092	1119
494	1094	1116
495	1095	1113
496	1097	1110
497	1098	1107
498	1099	1104
499	1101	1101
500	1102	1097
501	1103	1094
502	1104	1091
503	1106	1089
504	1108	1086
505	1110	1083
506	1111	1080
507	1112	1077
508	1113	1074
509	1114	1071
510	1116	1068
511	1117	1064
512	1118	1061
513	1119	1058
514	1121	1056
515	1123	1054
516	1125	1051
517	1126	1048
518	1127	1044
519	1128	1041
520	1130	1039
521	1131	1035
522	1132	1032
523	1133	1029
524	1134	1026
525	1136	1023
526	1137	1020
527	1138	1017
528	1139	1014
529	1140	1011
530	1142	1008
531	1155	1016
532	1156	1013
533	1158	1010
534	1160	1008
535	1161	1005
536	1163	1002
537	1164	999
538	1166	997
539	1168	995
540	1169	992
541	1171	989
542	1172	986
543	1173	983
544	1175	981
545	1176	978
546	1177	975
547	1178	972
548	1180	970
549	1182	967
550	1183	964
551	1184	961
552	1185	958
553	1187	955
554	1188	952
555	1189	950
556	1191	947
557	1192	944
558	1195	943
559	1197	940
560	1199	938
561	1200	935
562	1201	932
563	1203	930
564	1204	927
565	1205	924
566	1206	921
567	1207	918
568	1209	916
569	1210	913
570	1212	910
571	1213	907
572	1214	905
573	1215	902
574	1216	899
575	1218	896
576	1219	893
577	1220	891
578	1221	888
579	1223	886
580	1225	883
581	1226	880
582	1227	878
583	1228	875
584	1230	872
585	1231	869
586	1232	867
587	1233	864
588	1235	861
589	1236	859
590	1237	856
591	1239	854
592	1240	851
593	1242	849
594	1243	846
595	1244	843
596	1245	841
597	1247	838
598	1248	835
599	1249	832
600	1250	830
601	1252	828
602	1253	825
603	1255	822
604	1256	820
605	1257	817
606	1258	814
607	1259	812
608	1260	809
609	1261	806
610	1262	804
611	1264	801
612	1265	798
613	1267	796
614	1268	794
615	1270	791
616	1271	789
617	1272	786
618	1273	783
619	1274	781
620	1275	778
621	1277	776
622	1278	773
623	1279	770
624	1281	768
625	1282	766
626	1283	763
627	1285	761
628	1287	759
629	1288	756
630	1290	754
631	1291	751
632	1292	749
633	1293	746
634	1297	745
635	1298	743
636	1300	740
637	1301	738
638	1302	735
639	1303	733
640	1304	730
641	1306	728
642	1307	725
643	1308	723
644	1310	721
645	1311	718
646	1313	716
647	1314	714
648	1315	711
649	1317	709
650	1318	706
651	1319	704
652	1320	701
653	1321	699
654	1322	696
655	1324	694
656	1325	692
657	1327	689
658	1328	687
659	1329	685
660	1331	682
661	1333	680
662	1334	678
663	1335	675
664	1337	673
665	1339	671
666	1340	669
667	1341	666
668	1343	664
669	1344	662
670	1345	659
671	1346	657
672	1347	654
673	1348	652
674	1350	650
675	1351	647
676	1352	645
677	1354	643
678	1355	640
679	1356	638
680	1357	635
681	1358	633
682	1359	631
683	1361	628
684	1362	626
685	1363	624
686	1364	621
687	1365	619
688	1366	617
689	1368	614
690	1369	612
691	1370	609
692	1371	607
693	1372	605
694	1373	602
695	1374	600
696	1375	598
697	1376	595
698	1377	593
699	1379	591
700	1380	588
701	1383	587
702	1384	584
703	1385	582
704	1386	580
705	1388	578
706	1389	575
707	1390	573
708	1392	571
709	1393	569
710	1394	566
711	1395	564
712	1396	562
713	1398	559
714	1399	557
715	1400	555
716	1401	553
717	1402	550
718	1403	548
719	1404	546
720	1405	544
721	1407	541
722	1408	539
723	1410	537
724	1412	535
725	1413	533
726	1414	531
727	1415	529
728	1417	526
729	1418	524
730	1419	522
731	1420	520
732	1421	517
733	1423	515
734	1424	513
735	1425	511
736	1427	509
737	1428	507
738	1429	504
739	1430	502
740	1431	500
741	1432	498
742	1433	495
743	1434	493
744	1435	491
745	1436	489
746	1440	487
747	1441	485
748	1442	483
749	1443	481
750	1444	479
751	1446	476
752	1447	474
753	1448	472
754	1449	470
755	1450	468
756	1452	466
757	1454	464
758	1455	462
759	1457	460
760	1458	457
761	1460	456
762	1461	454
763	1463	451
764	1464	449
765	1465	447
766	1469	446
767	1470	444
768	1472	442
769	1473	440
770	1474	437
771	1475	435
772	1476	433
773	1477	431
774	1478	429
775	1480	427
776	1481	425
777	1483	423
778	1485	421
779	1486	419
780	1487	417
781	1488	415
782	1490	413
783	1491	410
784	1492	408
785	1494	406
786	1495	404
787	1496	402
788	1497	400
789	1499	398
790	1500	396
791	1501	394
792	1502	392
793	1504	390
794	1505	388
795	1506	386
796	1510	384
797	1512	382
798	1513	380
799	1514	378
800	1515	376
801	1517	374
802	1518	372
803	1519	370
804	1520	368
805	1521	366
806	1522	364
807	1525	362
808	1526	360
809	1528	358
810	1529	356
811	1530	354
812	1531	352
813	1532	350
814	1533	348
815	1534	346
816	1536	344
817	1537	342
818	1539	340
819	1540	338
820	1541	336
821	1543	334
822	1544	332
823	1545	330
824	1546	328
825	1547	326
826	1548	324
827	1550	322
828	1551	320
829	1552	317
830	1554	316
831	1555	314
832	1557	312
833	1558	310
834	1559	308
835	1560	306
836	1561	304
837	1562	302
838	1564	300
839	1565	298
840	1566	296
841	1568	294
842	1569	292
843	1570	290
844	1571	288
845	1572	286
846	1574	284
847	1575	282
848	1576	280
849	1577	278
850	1578	276
851	1579	274
852	1581	272
853	1582	270
854	1584	268
855	1585	266
856	1587	264
857	1588	262
858	1589	260
859	1591	259
860	1592	257
861	1593	255
862	1594	253
863	1596	251
864	1598	249
865	1599	247
866	1600	245
867	1601	243
868	1603	241
869	1604	239
870	1605	237
871	1606	235
872	1607	233
873	1608	231
874	1610	230
875	1612	228
876	1613	226
877	1614	224
878	1615	222
879	1617	220
880	1618	218
881	1619	216
882	1620	214
883	1621	212
884	1622	210
885	1624	208
886	1625	207
887	1627	205
888	1628	203
889	1630	201
890	1631	199
891	1632	197
892	1633	195
893	1634	193
894	1636	191
895	1637	190
896	1641	188
897	1642	186
898	1644	184
899	1645	182
900	1646	180
901	1647	179
902	1649	177
903	1650	175
904	1651	173
905	1652	171
906	1655	169
907	1656	167
908	1658	165
909	1659	164
910	1660	162
911	1661	160
912	1662	158
913	1663	156
914	1664	154
915	1666	152
916	1667	150
917	1669	149
918	1670	147
919	1671	145
920	1673	143
921	1674	141
922	1675	139
923	1676	137
924	1677	136
925	1678	134
926	1679	132
927	1681	130
928	1683	128
929	1685	126
930	1686	125
931	1688	123
932	1689	121
933	1690	119
934	1691	117
935	1693	115
936	1694	113
937	1695	112
938	1697	110
939	1698	108
940	1700	106
941	1701	104
942	1703	102
943	1704	101
944	1705	99
945	1706	97
946	1707	95
947	1709	93
948	1710	91
949	1712	90
950	1713	88
951	1714	86
952	1716	84
953	1717	82
954	1718	80
955	1719	79
956	1720	77
957	1721	75
958	1723	73
959	1724	71
960	1726	70
961	1727	68
962	1729	66
963	1730	64
964	1731	62
965	1732	60
966	1733	59
967	1735	57
968	1736	55
969	1737	53
970	1739	51
971	1740	50
972	1742	48
973	1743	46
974	1744	44
975	1745	42
976	1746	41
977	1747	39
978	1748	37
979	1750	35
980	1752	33
981	1755	32
982	1756	30
983	1758	28
984	1759	26
985	1760	24
986	1761	23
987	1762	21
988	1764	19
989	1765	17
990	1766	16
991	1767	14
992	1769	12
993	1770	10
994	1772	8
995	1773	7
996	1774	5
997	1775	3
998	1777	1
999	1778	0
